year,mean_coverage,median_coverage,min_coverage,max_coverage,std_coverage,total_pixels,pixels_with_trees,percent_area_with_trees,area_high_canopy,no_trees,low_canopy,medium_canopy,valid_data
2011,8.230060962412525,0.0,0,96,11.38339357066485,110888,51124,46.10417718779309,0.988384676430272,53.89582281220691,39.56514681480412,5.55064569655869,[0 0 0 ... 0 0 0]
2012,8.219753264555226,0.0,0,94,11.385273002887336,110888,51055,46.04195224009812,1.0019118389726571,53.95804775990188,39.52366351634081,5.5163768847846475,[0 0 0 ... 0 0 0]
2013,8.223477743308564,0.0,0,94,11.429388254033432,110888,50963,45.95898564317149,1.0226534882043143,54.04101435682851,39.40372267513166,5.53260947983551,[0 0 0 ... 0 0 0]
2014,8.186521535242768,0.0,0,94,11.44892610759129,110888,50671,45.69565687901306,1.0379842724190174,54.30434312098694,39.16384099271337,5.493831613880673,[0 0 0 ... 0 0 0]
2015,8.124819637832768,0.0,0,94,11.400222638859983,110888,50392,45.44405165572469,1.015439001515042,54.55594834427531,39.013238583074816,5.415374071134839,[0 0 0 ... 0 0 0]
2016,7.628381790635596,0.0,0,94,11.15120544031285,110888,48241,43.50425654714667,0.983875622249477,56.49574345285333,37.863429766972075,4.656951157925113,[0 0 0 ... 0 0 0]
2017,6.891926989394705,0.0,0,94,11.168316171198622,110888,42501,38.327862347593964,0.987482865594113,61.672137652406036,32.7393405959166,4.601038886083255,[0 0 0 ... 0 0 0]
2018,6.768721592958661,0.0,0,94,11.159175790893158,110888,41730,37.63256619291538,1.0037154606449752,62.36743380708462,32.163083471610996,4.465767260659404,[0 0 0 ... 0 0 0]
2019,6.620220402568357,0.0,0,94,11.171487670267926,110888,40679,36.684763004112256,1.0343770290743812,63.315236995887744,31.300050501406822,4.350335473631051,[0 0 0 ... 0 0 0]
2020,6.58013491090109,0.0,0,94,11.335863571465593,110888,39943,36.02103022869923,1.1272635451987592,63.978969771300775,30.54072577736094,4.353040906139529,[0 0 0 ... 0 0 0]
2021,6.504572180939326,0.0,0,94,11.529994979698646,110888,38824,35.0119039030373,1.249008008080225,64.98809609696269,29.360255392828797,4.402640502128274,[0 0 0 ... 0 0 0]
